# $1 = time [s]
# $2 = altitude [km]
# $3 = longitude [deg]
# $4 = latitude [deg]

536544000.00 7.89282 -107.199 -62.4852
536565600.00 7.73204 -107.706 -59.0877
536587200.00 7.47316 -107.335 -54.7903
536608800.00 7.18209 -104.3 -49.7099
536630400.00 6.88645 -97.2023 -45.3617
536652000.00 6.58276 -86.3765 -44.2167
536673600.00 7.14405 -74.5902 -46.4754
536695200.00 8.41845 -65.7181 -50.7172
536716800.00 8.29133 -58.7284 -54.2854
536738400.00 8.34828 -50.9294 -56.8903
536760000.00 8.22621 -42.1394 -57.7647
536781600.00 7.28795 -29.9727 -56.2577
536803200.00 6.87515 -17.2093 -49.8564
536824800.00 5.90657 -8.23843 -43.7885
536846400.00 4.47421 -1.10092 -41.6468
536868000.00 3.41848 6.97041 -40.5025
536889600.00 2.41012 13.1529 -40.1358
536911200.00 2.50105 18.2274 -40.6505
536932800.00 2.32657 23.7822 -42.3691
536954400.00 3.17855 31.2935 -44.7924
536976000.00 4.27963 40.7689 -48.0136
536997600.00 3.8783 51.0395 -49.4432
537019200.00 3.91969 59.4786 -50.4689
537040800.00 5.21115 68.8692 -51.609
537062400.00 6.67223 81.018 -51.0704
537084000.00 6.72609 96.1557 -46.9942
537105600.00 6.53529 109.698 -45.0785
537127200.00 6.26385 119.882 -46.7526
537148800.00 5.72333 125.922 -49.1095
537170400.00 5.69346 127.371 -52.4189
537192000.00 5.58085 124.56 -55.0279
537213600.00 7.09642 118.384 -55.7672
537235200.00 7.29708 111.082 -56.1473
537256800.00 6.81069 104.677 -57.185
537278400.00 6.42533 101.048 -57.5434
537300000.00 6.37634 98.1382 -57.8643
537321600.00 6.41291 95.3874 -58.5102
537343200.00 6.696 90.4458 -59.9782
537364800.00 6.94641 85.4776 -61.9327
537386400.00 6.98359 79.9195 -64.5395
537408000.00 7.24139 73.912 -66.8676
536544000.00 7.89282 -107.199 -62.4852
